Time,Str,Amp,BodyE,SizzleE,Total,GeoMean,SustainMs,Status
0.267,0.959,0.044,32.1,278.2,310.3,94.5,76.7,KEPT
0.476,0.179,0.002,2.2,9.2,11.4,4.5,188.6,KEPT
0.685,0.121,0.001,1.2,13.3,14.5,4.0,199.8,KEPT
0.882,0.103,0.001,0.8,14.2,15.0,3.3,178.9,KEPT
1.045,0.122,0.000,0.3,1.1,1.4,0.6,196.3,KEPT
1.962,0.932,0.296,251.6,3264.1,3515.7,906.2,181.6,KEPT
2.345,1.000,0.071,37.4,359.4,396.8,116.0,26.6,KEPT
2.531,0.688,0.015,9.4,59.8,69.2,23.7,27.1,KEPT
2.717,0.965,0.123,37.9,618.8,656.7,153.1,47.4,KEPT
2.891,0.557,0.032,6.3,118.4,124.7,27.3,35.3,KEPT
3.077,0.981,0.055,28.1,357.6,385.8,100.3,44.1,KEPT
3.262,0.656,0.019,12.0,37.4,49.4,21.2,5.4,REJECTED
3.471,1.000,0.113,56.3,647.9,704.2,191.0,69.3,KEPT
3.646,0.702,0.042,10.5,137.1,147.6,37.9,20.7,REJECTED
3.831,0.775,0.138,53.0,579.7,632.7,175.3,44.3,KEPT
4.017,0.526,0.011,3.9,49.1,52.9,13.8,20.6,REJECTED
4.214,0.905,0.081,36.3,386.4,422.7,118.4,27.3,KEPT
4.389,0.647,0.053,13.3,241.1,254.4,56.7,18.4,KEPT
4.586,1.000,0.290,91.5,1151.9,1243.4,324.7,30.2,KEPT
4.760,0.454,0.006,6.0,26.1,32.2,12.6,17.9,REJECTED
4.876,0.109,0.001,39.7,628.6,668.3,157.9,37.7,KEPT
4.957,0.958,0.060,24.2,279.7,303.9,82.2,39.7,KEPT
5.155,0.180,0.001,0.6,7.7,8.3,2.2,31.1,KEPT
5.329,1.000,0.128,36.1,518.7,554.8,136.8,33.7,KEPT
5.515,0.969,0.041,18.3,127.7,145.9,48.3,33.9,KEPT
5.700,0.748,0.097,39.0,622.5,661.5,155.8,47.6,KEPT
5.886,0.672,0.015,9.6,74.8,84.4,26.8,16.8,REJECTED
6.084,0.955,0.044,17.0,206.4,223.3,59.2,49.3,KEPT
6.258,0.474,0.008,3.6,20.7,24.3,8.6,14.5,REJECTED
6.455,1.000,0.255,73.8,1085.1,1158.9,283.1,37.3,KEPT
6.641,0.677,0.017,3.4,39.6,43.0,11.6,28.3,KEPT
6.827,1.000,0.115,44.5,445.1,489.6,140.8,41.5,KEPT
7.012,0.658,0.020,5.5,83.6,89.2,21.5,36.7,KEPT
7.198,0.566,0.088,42.3,570.6,612.9,155.4,47.3,KEPT
7.384,0.783,0.027,9.6,79.8,89.5,27.7,19.5,REJECTED
7.581,0.886,0.074,22.8,318.0,340.8,85.2,47.1,KEPT
7.755,0.924,0.242,284.1,2385.3,2669.4,823.2,183.8,KEPT
8.139,0.634,0.026,11.4,82.5,93.9,30.7,21.0,REJECTED
8.324,0.941,0.218,122.2,1056.6,1178.8,359.3,43.5,KEPT
8.510,0.789,0.021,6.4,58.2,64.6,19.3,44.8,KEPT
8.696,0.807,0.059,31.9,372.7,404.6,109.0,39.0,KEPT
8.882,0.569,0.012,3.0,40.7,43.7,11.0,17.9,REJECTED
9.265,0.238,0.001,0.8,5.4,6.2,2.1,12.5,REJECTED
9.462,1.000,0.130,46.1,576.9,623.0,163.0,45.2,KEPT
9.636,0.767,0.020,6.1,72.6,78.7,21.0,8.9,REJECTED
9.834,0.893,0.206,95.5,956.6,1052.1,302.3,43.7,KEPT
10.008,0.623,0.015,2.7,50.1,52.7,11.6,42.1,KEPT
10.194,0.963,0.097,38.5,439.7,478.2,130.1,47.7,KEPT
10.379,0.664,0.011,2.7,33.0,35.7,9.4,13.9,REJECTED
