rule,n_features,recall,precision,tp,fp,fn,margin_score,GeoMean,SustainMs,BodyE
GeoMean > 300 AND SustainMs > 80 AND BodyE > 50,3,1.0,1.0,6,0,0,49.319564380958354,300,80.0,50.0
GeoMean > 300 AND SustainMs > 80,2,1.0,1.0,6,0,0,46.978426608236056,300,80.0,
GeoMean > 350 AND SustainMs > 80 AND BodyE > 50,3,1.0,1.0,6,0,0,46.268179052019015,350,80.0,50.0
GeoMean > 300 AND SustainMs > 100 AND BodyE > 50,3,1.0,1.0,6,0,0,45.05971347574003,300,100.0,50.0
GeoMean > 325 AND SustainMs > 80,2,1.0,1.0,6,0,0,44.68988761153155,325,80.0,
GeoMean > 300 AND SustainMs > 90,2,1.0,1.0,6,0,0,43.78353842932232,300,90.0,
GeoMean > 400 AND SustainMs > 80 AND BodyE > 50,3,1.0,1.0,6,0,0,43.21679372307968,400,80.0,50.0
GeoMean > 300 AND SustainMs > 80 AND BodyE > 70,3,1.0,1.0,6,0,0,43.18647637114541,300,80.0,70.0
GeoMean > 350 AND SustainMs > 80,2,1.0,1.0,6,0,0,42.40134861482704,350,80.0,
GeoMean > 350 AND SustainMs > 100 AND BodyE > 50,3,1.0,1.0,6,0,0,42.0083281468007,350,100.0,50.0
GeoMean > 325 AND SustainMs > 90,2,1.0,1.0,6,0,0,41.49499943261782,325,90.0,
GeoMean > 300 AND SustainMs > 120 AND BodyE > 50,3,1.0,1.0,6,0,0,40.79986257052172,300,120.0,50.0
GeoMean > 300 AND SustainMs > 100,2,1.0,1.0,6,0,0,40.58865025040858,300,100.0,
GeoMean > 450 AND SustainMs > 80 AND BodyE > 50,3,1.0,1.0,6,0,0,40.165408394140336,450,80.0,50.0
GeoMean > 350 AND SustainMs > 80 AND BodyE > 70,3,1.0,1.0,6,0,0,40.13509104220607,350,80.0,70.0
GeoMean > 375 AND SustainMs > 80,2,1.0,1.0,6,0,0,40.11280961812254,375,80.0,
GeoMean > 350 AND SustainMs > 90,2,1.0,1.0,6,0,0,39.20646043591331,350,90.0,
GeoMean > 400 AND SustainMs > 100 AND BodyE > 50,3,1.0,1.0,6,0,0,38.95694281786136,400,100.0,50.0
GeoMean > 300 AND SustainMs > 100 AND BodyE > 70,3,1.0,1.0,6,0,0,38.926625465927096,300,100.0,70.0
GeoMean > 325 AND SustainMs > 100,2,1.0,1.0,6,0,0,38.300111253704074,325,100.0,
GeoMean > 400 AND SustainMs > 80,2,1.0,1.0,6,0,0,37.82427062141804,400,80.0,
GeoMean > 350 AND SustainMs > 120 AND BodyE > 50,3,1.0,1.0,6,0,0,37.74847724158238,350,120.0,50.0
GeoMean > 300 AND SustainMs > 110,2,1.0,1.0,6,0,0,37.39376207149484,300,110.0,
GeoMean > 500 AND SustainMs > 80 AND BodyE > 50,3,1.0,1.0,6,0,0,37.114023065201,500,80.0,50.0
GeoMean > 400 AND SustainMs > 80 AND BodyE > 70,3,1.0,1.0,6,0,0,37.08370571326673,400,80.0,70.0
GeoMean > 300 AND SustainMs > 80 AND BodyE > 90,3,1.0,1.0,6,0,0,37.05338836133247,300,80.0,90.0
GeoMean > 375 AND SustainMs > 90,2,1.0,1.0,6,0,0,36.917921439208804,375,90.0,
GeoMean > 300 AND SustainMs > 140 AND BodyE > 50,3,1.0,1.0,6,0,0,36.5400116653034,300,140.0,50.0
GeoMean > 350 AND SustainMs > 100,2,1.0,1.0,6,0,0,36.01157225699957,350,100.0,
GeoMean > 450 AND SustainMs > 100 AND BodyE > 50,3,1.0,1.0,6,0,0,35.90555748892202,450,100.0,50.0
